 -----Test Name  T3-2015 Blonde Monent,,,,,,,,,,
 -----Measure Parameters    PTVEC,,,,,,,,,,
 -----Test Code  T3,,,,,,,,,,
 -----Scan Type   Linear,,,,,,,,,,
 -----Periods  00_00:10:00.00,,,,,,,,,,
 -----Memory Wrap  True,,,,,,,,,,
 -----Broadcast Normal Log  False,,,,,,,,,,
 -----Broadcast Alarm Log  False,,,,,,,,,,
 -----Alarm Scan  Disabled,,,,,,,,,,
 -----Scanned Upto =  30000,,,,,,,,,,
 -----Firmware Version  2.4,,,,,,,,,,
 -----TruWare v1.78,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
ID,Name,Address,Time of Acquisition,Elapsed(Sec),Level(cmH2O),Temperature ('C),Battery Voltage(Volt),Supply Voltage(Volt),Conductivity(uS/cm),Scan No
0,1404704,0,'11/17/2015 08:10:00.00 AM,15163800,14.42794447,9.501,3.516,0,142.9,23300
0,1404704,0,'11/17/2015 08:25:00.00 AM,15164700,14.41500435,9.508,3.516,0,143,23301
0,1404704,0,'11/17/2015 08:40:00.00 AM,15165600,14.41050344,9.501,3.516,0,142.9,23302
0,1404704,0,'11/17/2015 08:55:00.00 AM,15166500,14.4003764,9.506,3.516,0,142.8,23303
0,1404704,0,'11/17/2015 09:10:00.00 AM,15167400,14.40684646,9.503,3.516,0,143,23304
0,1404704,0,'11/17/2015 09:25:00.00 AM,15168300,14.40811234,9.503,3.516,0,142.8,23305
0,1404704,0,'11/17/2015 09:40:00.00 AM,15169200,14.40579155,9.497,3.516,0,142.8,23306
0,1404704,0,'11/17/2015 09:55:00.00 AM,15170100,14.39946215,9.501,3.516,0,142.9,23307
0,1404704,0,'11/17/2015 10:10:00.00 AM,15171000,14.39805562,9.504,3.517,0,142.9,23308
0,1404704,0,'11/17/2015 10:25:00.00 AM,15171900,14.38610008,9.506,3.516,0,142.9,23309
0,1404704,0,'11/17/2015 10:40:00.00 AM,15172800,14.37224572,9.504,3.516,0,142.9,23310
0,1404704,0,'11/17/2015 10:55:00.00 AM,15173700,14.35600025,9.501,3.516,0,142.7,23311
0,1404704,0,'11/17/2015 11:10:00.00 AM,15174600,14.36676024,9.503,3.516,0,142.8,23312
0,1404704,0,'11/17/2015 11:25:00.00 AM,15175500,14.3548047,9.5,3.516,0,142.8,23313
0,1404704,0,'11/17/2015 11:40:00.00 AM,15176400,14.34446667,9.495,3.516,0,142.8,23314
0,1404704,0,'11/17/2015 11:55:00.00 AM,15177300,14.32020396,9.507,3.516,0,142.8,23315
0,1404704,0,'11/17/2015 12:10:00.00 PM,15178200,14.3176722,9.507,3.516,0,142.5,23316
0,1404704,0,'11/17/2015 12:25:00.00 PM,15179100,14.33061231,9.488,3.516,0,142.6,23317
0,1404704,0,'11/17/2015 12:40:00.00 PM,15180000,14.29917628,9.499,3.516,0,142.6,23318
0,1404704,0,'11/17/2015 12:55:00.00 PM,15180900,14.29509733,9.51,3.516,0,142.5,23319
0,1404704,0,'11/17/2015 01:10:00.00 PM,15181800,14.29087773,9.501,3.516,0,142.5,23320
0,1404704,0,'11/17/2015 01:25:00.00 PM,15182700,14.29319851,9.497,3.516,0,142.4,23321
0,1404704,0,'11/17/2015 01:40:00.00 PM,15183600,14.28461865,9.506,3.516,0,142.6,23322
0,1404704,0,'11/17/2015 01:55:00.00 PM,15184500,14.2823682,9.506,3.516,0,142.5,23323
0,1404704,0,'11/17/2015 02:10:00.00 PM,15185400,14.28679878,9.494,3.516,0,142.6,23324
0,1404704,0,'11/17/2015 02:25:00.00 PM,15186300,14.28616584,9.5,3.516,0,142.5,23325
0,1404704,0,'11/17/2015 02:40:00.00 PM,15187200,14.28039905,9.497,3.516,0,142.6,23326
0,1404704,0,'11/17/2015 02:55:00.00 PM,15188100,14.27491357,9.501,3.516,0,142.5,23327
0,1404704,0,'11/17/2015 03:10:00.00 PM,15189000,14.26795122,9.504,3.516,0,142.6,23328
0,1404704,0,'11/17/2015 03:25:00.00 PM,15189900,14.26429423,9.488,3.516,0,142.6,23329
0,1404704,0,'11/17/2015 03:40:00.00 PM,15190800,14.24833007,9.499,3.516,0,142.5,23330
0,1404704,0,'11/17/2015 03:55:00.00 PM,15191700,14.25276066,9.494,3.516,0,142.8,23331
0,1404704,0,'11/17/2015 04:10:00.00 PM,15192600,14.25177608,9.498,3.516,0,142.8,23332
0,1404704,0,'11/17/2015 04:25:00.00 PM,15193500,14.24080512,9.506,3.516,0,142.8,23333
0,1404704,0,'11/17/2015 04:40:00.00 PM,15194400,14.21970711,9.502,3.516,0,142.8,23334
