 -----Test End Time  2016/05/30 16:55:19,,,,,,,,,,
 -----Test Name  T3-2015 Blonde Monent,,,,,,,,,,
 -----Measure Parameters    PTVEC,,,,,,,,,,
 -----Test Code  T3,,,,,,,,,,
 -----Scan Type   Linear,,,,,,,,,,
 -----Periods  00_00:10:00.00,,,,,,,,,,
 -----Memory Wrap  True,,,,,,,,,,
 -----Broadcast Normal Log  False,,,,,,,,,,
 -----Broadcast Alarm Log  False,,,,,,,,,,
 -----Alarm Scan  Disabled,,,,,,,,,,
 -----Scanned Upto =  30000,,,,,,,,,,
 -----Firmware Version  2.4,,,,,,,,,,
 -----TruWare v1.78,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
ID,Name,Address,Time of Acquisition,Elapsed(Sec),Level(cmH2O),Temperature ('C),Battery Voltage(Volt),Supply Voltage(Volt),Conductivity(uS/cm),Scan No
0,1404704,0,'12/23/2015 08:25:00.00 AM,18275100,18.55802058,9.003,3.513,0,128.3,26757
0,1404704,0,'12/23/2015 08:40:00.00 AM,18276000,18.54325197,9.005,3.513,0,128.3,26758
0,1404704,0,'12/23/2015 08:55:00.00 AM,18276900,18.53115578,9.005,3.513,0,128.3,26759
0,1404704,0,'12/23/2015 09:10:00.00 AM,18277800,18.55035497,8.998,3.513,0,128.3,26760
0,1404704,0,'12/23/2015 09:25:00.00 AM,18278700,18.52468572,9.001,3.513,0,128.4,26761
0,1404704,0,'12/23/2015 09:40:00.00 AM,18279600,18.58643256,9.001,3.513,0,128.6,26762
0,1404704,0,'12/23/2015 09:55:00.00 AM,18280500,18.56083364,9.001,3.513,0,128.7,26763
0,1404704,0,'12/23/2015 10:10:00.00 AM,18281400,18.581791,9.006,3.513,0,128.7,26764
0,1404704,0,'12/23/2015 10:25:00.00 AM,18282300,18.58938628,9.005,3.513,0,128.7,26765
0,1404704,0,'12/23/2015 10:40:00.00 AM,18283200,18.60914809,9.01,3.513,0,128.6,26766
0,1404704,0,'12/23/2015 10:55:00.00 AM,18284100,18.58938628,9.013,3.513,0,128.7,26767
0,1404704,0,'12/23/2015 11:10:00.00 AM,18285000,18.56216985,8.999,3.514,0,128.7,26768
0,1404704,0,'12/23/2015 11:25:00.00 AM,18285900,18.54311132,9.005,3.514,0,128.9,26769
0,1404704,0,'12/23/2015 11:40:00.00 AM,18286800,18.52271657,9.016,3.513,0,128.8,26770
0,1404704,0,'12/23/2015 11:55:00.00 AM,18287700,18.52306821,9.003,3.513,0,129.1,26771
0,1404704,0,'12/23/2015 12:10:00.00 PM,18288600,18.50900287,9.005,3.513,0,129.1,26772
0,1404704,0,'12/23/2015 12:25:00.00 PM,18289500,18.50668209,9.01,3.513,0,129.1,26773
0,1404704,0,'12/23/2015 12:40:00.00 PM,18290400,18.56013038,9.008,3.513,0,129.1,26774
0,1404704,0,'12/23/2015 12:55:00.00 PM,18291300,18.59437948,9.009,3.513,0,129.1,26775
0,1404704,0,'12/23/2015 01:10:00.00 PM,18292200,18.56160724,9.018,3.513,0,129.2,26776
0,1404704,0,'12/23/2015 01:25:00.00 PM,18293100,18.5620292,9.023,3.513,0,129.2,26777
0,1404704,0,'12/23/2015 01:40:00.00 PM,18294000,18.54550242,9.023,3.513,0,129.2,26778
0,1404704,0,'12/23/2015 01:55:00.00 PM,18294900,18.53375786,9.025,3.513,0,129.2,26779
0,1404704,0,'12/23/2015 02:10:00.00 PM,18295800,18.54789353,9.023,3.513,0,129.1,26780
0,1404704,0,'12/23/2015 02:25:00.00 PM,18296700,18.5164575,9.023,3.513,0,129.1,26781
0,1404704,0,'12/23/2015 02:40:00.00 PM,18297600,18.50028236,9.021,3.514,0,129.2,26782
0,1404704,0,'12/23/2015 02:55:00.00 PM,18298500,18.50661176,9.022,3.514,0,129.5,26783
0,1404704,0,'12/23/2015 03:10:00.00 PM,18299400,18.48094251,9.026,3.513,0,129.6,26784
0,1404704,0,'12/23/2015 03:25:00.00 PM,18300300,18.4853731,9.023,3.513,0,129.8,26785
0,1404704,0,'12/23/2015 03:40:00.00 PM,18301200,18.4503504,9.026,3.513,0,129.8,26786
0,1404704,0,'12/23/2015 03:55:00.00 PM,18302100,18.46701783,9.022,3.513,0,129.8,26787
0,1404704,0,'12/23/2015 04:10:00.00 PM,18303000,18.47587899,9.021,3.514,0,129.8,26788
0,1404704,0,'12/23/2015 04:25:00.00 PM,18303900,18.47362854,9.028,3.514,0,129.8,26789
0,1404704,0,'12/23/2015 04:40:00.00 PM,18304800,18.43459722,9.03,3.513,0,129.7,26790
0,1404704,0,'12/23/2015 04:55:00.00 PM,18305700,18.47454278,9.026,3.513,0,129.7,26791
0,1404704,0,'12/23/2015 05:10:00.00 PM,18306600,18.43909813,9.032,3.514,0,129.7,26792
0,1404704,0,'12/23/2015 05:25:00.00 PM,18307500,18.43368297,9.041,3.513,0,129.8,26793
0,1404704,0,'12/23/2015 05:40:00.00 PM,18308400,18.42503279,9.034,3.513,0,129.8,26794
0,1404704,0,'12/23/2015 05:55:00.00 PM,18309300,18.41314757,9.034,3.513,0,130,26795
0,1404704,0,'12/23/2015 06:10:00.00 PM,18310200,18.37306136,9.037,3.513,0,130.2,26796
0,1404704,0,'12/23/2015 06:25:00.00 PM,18311100,18.38361036,9.032,3.513,0,130.3,26797
0,1404704,0,'12/23/2015 06:40:00.00 PM,18312000,18.36947469,9.032,3.513,0,130.3,26798
0,1404704,0,'12/23/2015 06:55:00.00 PM,18312900,18.37615573,9.033,3.513,0,130.3,26799
0,1404704,0,'12/23/2015 07:10:00.00 PM,18313800,18.35857405,9.036,3.513,0,130.2,26800
0,1404704,0,'12/23/2015 07:25:00.00 PM,18314700,18.34760309,9.04,3.513,0,130.4,26801
0,1404704,0,'12/23/2015 07:40:00.00 PM,18315600,18.38199285,9.045,3.513,0,130.6,26802
0,1404704,0,'12/23/2015 07:55:00.00 PM,18316500,18.35083812,9.031,3.513,0,130.8,26803
0,1404704,0,'12/23/2015 08:10:00.00 PM,18317400,18.37109221,9.042,3.512,0,130.9,26804
0,1404704,0,'12/23/2015 08:25:00.00 PM,18318300,18.34246924,9.027,3.513,0,130.9,26805
0,1404704,0,'12/23/2015 08:40:00.00 PM,18319200,18.33585853,9.046,3.513,0,130.9,26806
0,1404704,0,'12/23/2015 08:55:00.00 PM,18320100,18.31342431,9.045,3.513,0,131,26807
0,1404704,0,'12/23/2015 09:10:00.00 PM,18321000,18.30245335,9.055,3.513,0,131.1,26808
0,1404704,0,'12/23/2015 09:25:00.00 PM,18321900,18.2930999,9.042,3.513,0,131.3,26809
0,1404704,0,'12/23/2015 09:40:00.00 PM,18322800,18.26159354,9.049,3.513,0,131.4,26810
0,1404704,0,'12/23/2015 09:55:00.00 PM,18323700,18.27073601,9.037,3.513,0,131.6,26811
0,1404704,0,'12/23/2015 10:10:00.00 PM,18324600,18.26862621,9.045,3.513,0,131.6,26812
0,1404704,0,'12/23/2015 10:25:00.00 PM,18325500,18.34253957,9.053,3.513,0,131.5,26813
0,1404704,0,'12/23/2015 10:40:00.00 PM,18326400,18.37467887,9.058,3.513,0,131.5,26814
0,1404704,0,'12/23/2015 10:55:00.00 PM,18327300,18.32158221,9.048,3.513,0,131.6,26815
0,1404704,0,'12/23/2015 11:10:00.00 PM,18328200,18.3655364,9.057,3.514,0,131.8,26816
0,1404704,0,'12/23/2015 11:25:00.00 PM,18329100,18.40133269,9.056,3.513,0,132,26817
0,1404704,0,'12/23/2015 11:40:00.00 PM,18330000,18.40597425,9.061,3.514,0,132.2,26818
0,1404704,0,'12/23/2015 11:55:00.00 PM,18330900,18.41209267,9.055,3.513,0,132.1,26819
0,1404704,0,'12/24/2015 12:10:00.00 AM,18331800,18.37812488,9.061,3.513,0,132.1,26820
0,1404704,0,'12/24/2015 12:25:00.00 AM,18332700,18.34675917,9.062,3.513,0,132.1,26821
0,1404704,0,'12/24/2015 12:40:00.00 AM,18333600,18.37067025,9.062,3.513,0,132.2,26822
0,1404704,0,'12/24/2015 12:55:00.00 AM,18334500,18.31658902,9.07,3.513,0,132.4,26823
0,1404704,0,'12/24/2015 01:10:00.00 AM,18335400,18.30104681,9.06,3.514,0,132.5,26824
0,1404704,0,'12/24/2015 01:25:00.00 AM,18336300,18.34943158,9.06,3.514,0,132.7,26825
